birth_state,status,injury_start_date,birth_date,search_full_name,injury_notes,team,fantasy_data_id,position,rotoworld_id,stats_id,depth_chart_order,sportradar_id,depth_chart_position,hashtag,first_name,search_last_name,search_rank,search_first_name,birth_city,pandascore_id,fantasy_positions,college,last_name,espn_id,injury_status,metadata,age,yahoo_id,height,number,birth_country,weight,injury_body_part,full_name,high_school,swish_id,gsis_id,player_id,active,news_updated,sport,practice_description,years_exp,rotowire_id,practice_participation
None,Active,None,1999-09-07,rileypatterson,None,JAX,None,K,None,None,1.0,deac735c-af0a-4f01-ada8-379ef66917ba,PK,#rileypatterson-NFL-JAX-10,Riley,patterson,323.0,riley,None,None,['K'],Memphis,Patterson,None,None,None,23.0,None,72,10.0,None,190,None,Riley Patterson,Edwardsville (IL),1065025.0,None,7922,True,1679606122982.0,nfl,None,2.0,15512.0,None
None,Active,None,1997-01-29,rodrigoblankenship,None,None,22112.0,K,None,None,None,c8bbff7b-3b6e-413f-8945-24c01bfd84c5,None,#rodrigoblankenship-NFL-FA-15,Rodrigo,blankenship,180.0,rodrigo,None,None,['K'],Georgia,Blankenship,3915165.0,Questionable,None,25.0,33211.0,73,15.0,None,184,None,Rodrigo Blankenship,Sprayberry (GA),880522.0,None,7062,True,1667415651367.0,nfl,None,2.0,14437.0,None
None,Active,None,2000-03-03,kennymcintosh,None,SEA,None,RB,None,None,None,9956eabc-16da-4a1c-ab80-fe0910bcaa12,None,#kennymcintosh-NFL-SEA-0,Kenny,mcintosh,221.0,kenny,None,None,['RB'],Georgia,McIntosh,None,None,{'source_id': '11a2db3e-bb9f-4c87-838b-7821a16cf6b9'},23.0,None,72,0.0,None,210,None,Kenny McIntosh,University School (FL),1172050.0,None,10216,True,1682806830202.0,nfl,None,0.0,17002.0,None
None,Active,None,1995-11-09,mattsokol,None,NE,21158.0,TE,None,824177.0,3.0,21a33144-63ee-4125-ac44-3fc911a39d50,TE,#mattsokol-NFL-NE-87,Matt,sokol,9999999.0,matt,None,None,['TE'],Michigan State,Sokol,3121378.0,None,None,27.0,32551.0,77,87.0,None,249,None,Matt Sokol,Adams (MI),824177.0, 00-0035436,6233,True,1673412021333.0,nfl,None,4.0,13686.0,None
None,Inactive,None,1984-09-21,dwaynebowe,None,None,7203.0,WR,4184.0,225224.0,None,2e35b163-2fef-4659-b9d8-5916dbe06179,None,#dwaynebowe-NFL-FA-80,Dwayne,bowe,9999999.0,dwayne,None,None,['WR'],Louisiana State,Bowe,10467.0,None,None,35.0,8277.0,"6'2""",80.0,None,222,None,Dwayne Bowe,Norland (FL),None,None,286,False,1558032615659.0,nfl,None,13.0,5278.0,None
None,Inactive,None,1987-07-25,mikekafka,None,None,11323.0,QB,5855.0,285059.0,None,853c2e4e-7363-4f00-93dd-a9f514407225,None,#mikekafka-NFL-FA-3,Mike,kafka,9999999.0,mike,None,None,['QB'],Northwestern,Kafka,13397.0,None,None,31.0,24097.0,"6'3""",3.0,None,225,None,Mike Kafka,None,None,None,586,False,None,nfl,None,4.0,None,None
None,Inactive,None,1984-03-31,jamesjones,None,None,6302.0,WR,4242.0,218298.0,None,b5584569-4a6d-4739-a810-eec2b5edeea4,None,#jamesjones-NFL-FA-89,James,jones,9999999.0,james,None,None,['WR'],San Jose State,Jones,10522.0,None,None,36.0,8332.0,"6'1""",89.0,None,200,None,James Jones,Gunderson (CA),None,None,253,False,None,nfl,None,13.0,5391.0,None
None,Active,None,1997-09-19,kevinkassis,None,None,None,WR,None,None,None,d82fc6a0-d473-11ec-8be1-059b7cb3dc59,None,#kevinkassis-NFL-FA-0,Kevin,kassis,9999999.0,kevin,None,None,['WR'],Montana State,Kassis,None,None,{'years_exp_shift': '1'},25.0,None,72,0.0,None,197,None,Kevin Kassis,Oak Ridge (CA),946360.0,None,8876,True,1668555355564.0,nfl,None,2.0,16487.0,None
None,Active,None,1992-01-03,blakesims,None,None,18790.0,QB,None,557175.0,None,40d0e8a7-ca2f-4ea3-8122-948ac7737453,None,#blakesims-NFL-FA-25,Blake,sims,9999999.0,blake,None,None,['QB'],Alabama,Sims,2515957.0,None,None,30.0,30082.0,72,25.0,None,208,None,Blake Sims,Gainesville (GA),None,None,3957,True,None,nfl,None,5.0,10181.0,None
None,Active,None,1999-01-08,colbyparkinson,Parkinson is rehabbing after undergoing surgery.,SEA,21807.0,TE,None,None,3.0,1ea7affb-e5e7-491a-aaa3-55e200b2eb48,LTE,#colbyparkinson-NFL-SEA-84,Colby,parkinson,637.0,colby,None,None,['TE'],Stanford,Parkinson,4242557.0,None,None,24.0,32803.0,79,84.0,None,251,None,Colby Parkinson,Oaks Christian (CA),1060312.0,None,6865,True,1673918116324.0,nfl,None,3.0,14463.0,None
None,Active,None,None,malikflowers,None,NO,None,WR,None,None,None,e032f0a0-e900-11ed-938d-0d67804b975f,None,#malikflowers-NFL-NO-0,Malik,flowers,9999999.0,malik,None,None,['WR'],Montana,Flowers,None,None,None,None,None,74,0.0,None,200,None,Malik Flowers,A.B. Miller (CA),1061795.0,None,11192,True,1683050739979.0,nfl,None,0.0,17486.0,None
None,Injured Reserve,None,1990-11-22,brockosweiler,None,None,14053.0,QB,7450.0,496553.0,None,0847010c-9a77-4f0b-9d63-c8b4b224d263,None,#brockosweiler-NFL-FA-80,Brock,osweiler,9999999.0,brock,None,None,['QB'],Arizona State,Osweiler,14879.0,None,None,31.0,25767.0,79,80.0,None,240,None,Brock Osweiler,Flathead (MT),None,00-0029682,1126,False,1571264455252.0,nfl,None,10.0,8033.0,None
None,Inactive,None,None,playerinvalid,None,None,None,RB,None,None,None,None,None,#playerinvalid-NFL-FA,Player,invalid,None,player,None,None,['RB'],,Invalid,None,None,None,None,None,,None,None,,None,Player Invalid,None,None,None,8231,False,None,nfl,None,0.0,None,None
None,Inactive,None,None,anthonyezeakunne,None,None,17466.0,TE,None,888078.0,None,,None,#anthonyezeakunne-NFL-FA-89,Anthony,ezeakunne,9999999.0,anthony,None,None,['TE'],Chapman,Ezeakunne,None,None,None,None,29202.0,"6'4""",89.0,None,240,None,Anthony Ezeakunne,None,None,None,2971,False,None,nfl,None,0.0,None,None
None,Inactive,None,1994-04-10,derekkeaton,None,None,18484.0,WR,None,None,None,,None,#derekkeaton-NFL-FA-18,Derek,keaton,9999999.0,derek,None,None,['WR'],Georgia Southern,Keaton,None,None,None,24.0,29918.0,"5'10""",18.0,None,183,None,Derek Keaton,None,None,None,3684,False,None,nfl,None,0.0,11659.0,None
None,Inactive,None,1993-04-12,dorialgreenbeckham,None,None,16801.0,WR,10395.0,689897.0,None,5a6b3b96-6785-4eb3-99b3-c51a96b9fb4d,None,#dorialgreenbeckham-NFL-FA-18,Dorial,greenbeckham,9999999.0,dorial,None,None,['WR'],Missouri,Green-Beckham,2971433.0,None,None,27.0,28428.0,"6'5""",18.0,None,237,None,Dorial Green-Beckham,Hillcrest (MO),None,00-0032218,2345,False,1545423915118.0,nfl,None,5.0,10035.0,None
None,Inactive,None,1991-11-25,marqiselee,None,None,16258.0,WR,9402.0,599006.0,None,4c3c6b63-aa1f-4452-9d1d-662073f06142,None,#marqiselee-NFL-FA-13,Marqise,lee,795.0,marqise,None,None,['WR'],Southern California,Lee,16787.0,None,{'injury_override_regular_2020_5': 'COV'},30.0,27567.0,72,13.0,None,196,None,Marqise Lee,Junipero Serra (CA),None,00-0031431,1987,True,1636498531560.0,nfl,None,8.0,9453.0,None
None,Active,None,1993-01-05,phillipdorsett,None,LV,16790.0,WR,10381.0,596417.0,2.0,c682e8ea-fe48-45d2-af60-682a6125ab22,RWR,#phillipdorsett-NFL-LV-11,Phillip,dorsett,9999999.0,phillip,None,None,['WR'],Miami (FL),Dorsett,2579604.0,None,None,30.0,28417.0,70,11.0,None,192,None,Phillip Dorsett,St. Thomas Aquinas (FL),596417.0,00-0032208,2334,True,1678849854609.0,nfl,None,8.0,10208.0,None
None,Active,None,2000-11-04,cjjohnson,None,SEA,None,WR,None,None,None,3a00b600-ea03-11ed-8d34-41182339b277,None,#cjjohnson-NFL-SEA-0,C.J.,johnson,272.0,cj,None,None,['WR'],East Carolina,Johnson,None,None,{'source_id': '7683e36a-5357-43e0-ac7b-e821ae145d70'},22.0,None,74,0.0,None,222,None,C.J. Johnson,D.H. Conley (NC),None,None,9759,True,None,nfl,None,0.0,None,None
None,Active,None,1998-05-21,aaronparker,None,None,21969.0,WR,None,None,None,08df3736-14f2-465e-af74-cdcdebe19a66,None,#aaronparker-NFL-FA-21,Aaron,parker,457.0,aaron,None,None,['WR'],Rhode Island,Parker,4032749.0,None,None,24.0,33095.0,74,21.0,None,209,None,Aaron Parker,Gwynn Park (MD),924598.0,None,7091,True,1661648159915.0,nfl,None,2.0,14642.0,None
None,Inactive,None,1993-07-22,ryanmalleck,None,None,18272.0,TE,11545.0,601609.0,None,0b6d4047-2c3d-4727-8cd9-0ec66178c7a7,None,#ryanmalleck-NFL-FA-82,Ryan,malleck,9999999.0,ryan,None,None,['TE'],Virginia Tech,Malleck,2577892.0,None,None,28.0,29857.0,77,82.0,None,253,None,Ryan Malleck,Point Pleasant Borough (NJ),None,00-0032650,3506,False,1542777332034.0,nfl,None,6.0,11124.0,None
None,Inactive,None,1986-11-22,brianhartline,None,None,8330.0,WR,5191.0,296910.0,None,24a6423a-0c3f-4cfb-b25a-fc05c04c9f7f,None,#brianhartline-NFL-FA-83,Brian,hartline,9999999.0,brian,None,None,['WR'],Ohio State,Hartline,12568.0,None,None,33.0,9372.0,"6'2""",83.0,None,200,None,Brian Hartline,GlenOak (OH),None,None,339,False,None,nfl,None,11.0,6114.0,None
None,Active,None,1994-11-06,skylerhoward,None,SEA,19574.0,QB,None,823069.0,None,,None,#skylerhoward-NFL-SEA-0,Skyler,howard,9999999.0,skyler,None,None,['QB'],West Virginia,Howard,None,None,None,23.0,30758.0,"5'11""",0.0,None,209,None,Skyler Howard,None,None,None,4936,True,None,nfl,None,1.0,None,None
None,Active,None,1992-06-28,dariusjennings,None,None,17070.0,WR,None,605784.0,None,865d8df9-06ec-40c3-8c71-637f9fd0bcbf,None,#dariusjennings-NFL-FA-86,Darius,jennings,913.0,darius,None,None,['WR'],Virginia,Jennings,2577808.0,None,None,29.0,29038.0,70,86.0,None,180,None,Darius Jennings,Gilman School (MD),None,00-0031972,2602,True,1629761455179.0,nfl,None,7.0,10718.0,None
None,Active,None,1994-03-16,kaarevedvik,None,None,20248.0,K,13603.0,824269.0,None,622c2cf0-a29e-4943-8819-f9dc48f3d7a0,None,#kaarevedvik-NFL-FA-0,Kaare,vedvik,1436.0,kaare,None,None,"['P', 'K']",Marshall,Vedvik,3068715.0,None,None,27.0,31421.0,75,0.0,None,210,None,Kaare Vedvik,McPherson (KS),824269.0,00-0034202,5460,True,1631108104037.0,nfl,None,4.0,13131.0,None
None,Inactive,None,None,andrewwellock,None,None,21620.0,K,None,None,None,,None,#andrewwellock-NFL-FA-0,Andrew,wellock,9999999.0,andrew,None,None,['K'],None,Wellock,None,None,{'override_active': 'false'},None,None,,0.0,None,,None,Andrew Wellock,None,None,None,6703,False,None,nfl,None,0.0,None,None
None,Active,None,1996-06-08,christianblake,None,None,20224.0,WR,None,837503.0,None,d90a2ae8-cbd6-40cd-a545-3501c93c0822,None,#christianblake-NFL-FA-39,Christian,blake,9999999.0,christian,None,None,['WR'],Northern Illinois,Blake,3126002.0,None,None,26.0,31347.0,73,39.0,None,182,None,Christian Blake,Cardinal Gibbons (FL),837503.0,00-0034132,5241,True,1661285131638.0,nfl,None,4.0,13083.0,None
None,Active,None,2000-09-07,tyquanthornton,None,NE,None,WR,None,None,1.0,74cda487-2026-42e0-ae32-77f3502cfb11,RWR,#tyquanthornton-NFL-NE-11,Tyquan,thornton,212.0,tyquan,None,None,['WR'],Baylor,Thornton,None,None,"{'source_id': 'be4774ed-ab76-4c71-80fe-5c56bfb14e43', 'injury_override_regular_2022_1': 'IR'}",22.0,None,74,11.0,None,182,None,Tyquan Thornton,Booker T. Washington (FL),1110301.0,None,8188,True,1673891713047.0,nfl,None,1.0,15831.0,None
None,Inactive,None,1995-10-12,malachidupre,None,None,19089.0,WR,12336.0,822012.0,None,e0a27785-ab78-4d51-8a8e-8fb9896956fd,None,#malachidupre-NFL-FA-8,Malachi,dupre,9999999.0,malachi,None,None,['WR'],Louisiana State,Dupre,3115366.0,None,None,26.0,30360.0,74,8.0,None,195,None,Malachi Dupre,John Curtis Christian (LA),None,00-0033305,4243,False,1564341612771.0,nfl,None,5.0,11854.0,None
None,Active,None,1995-03-10,daeseanhamilton,None,None,19916.0,WR,13174.0,748755.0,None,ccd5239f-e8ba-484c-acf5-af0bd9f6dadc,None,#daeseanhamilton-NFL-FA-87,DaeSean,hamilton,9999999.0,daesean,None,None,['WR'],Penn State,Hamilton,3057987.0,Questionable,{'injury_override_regular_2020_5': 'COV'},27.0,31083.0,73,87.0,None,206,None,DaeSean Hamilton,Mountain View (VA),748755.0,00-0034370,4998,True,1672453560567.0,nfl,None,4.0,12654.0,None
None,Active,None,1998-08-03,terrellbynum,None,LAC,None,WR,None,None,None,22bcc3a0-e78b-11ed-ace7-9394322a6842,None,#terrellbynum-NFL-LAC-0,Terrell,bynum,9999999.0,terrell,None,None,['WR'],USC,Bynum,None,None,None,24.0,None,73,0.0,None,190,None,Terrell Bynum,St. John Bosco (CA),None,None,11115,True,1682883638545.0,nfl,None,0.0,17423.0,None
None,Inactive,None,1988-09-21,evanrodriguez,None,None,14193.0,TE,None,405003.0,None,fa68cd74-e645-4935-95f7-9dee35239853,None,#evanrodriguez-NFL-FA-48,Evan,rodriguez,9999999.0,evan,None,None,['TE'],Temple,Rodriguez,15000.0,None,None,29.0,None,"6'1""",48.0,None,239,None,Evan Rodriguez,None,None,None,1152,False,None,nfl,None,3.0,None,None
